Start_Date,End_Date,Department,Description,02002TEST_ABC-Moto_CY,C_Class_CY,C_Class_CY_vs_LY,C_Class_%_of_Class,ABC-Moto_CY,ABC-Moto_CY_vs_LY,ABC-Moto_%_of_Nat_Avg
24-Nov,25-Oct,Overall Dealership,Total Brand Market Share % within DAT (601cc+),0.3222,0.297685,0.005852,1.082352,0.247321,-0.007304,1.30276
24-Nov,25-Oct,Overall Dealership,Current Ratio,1.112406,1.594256,-0.096997,0.697759,1.787512,0.000659,0.622321
24-Nov,25-Oct,Overall Dealership,Debt / Equity Ratio,4.722373,1.63658,0.297019,2.885513,1.626159,0.15328,2.904004
24-Nov,25-Oct,Overall Dealership,Debt to TNW Ratio,10.553183,1.938078,0.392576,5.44518,2.025882,0.210632,5.20918
24-Nov,25-Oct,Overall Dealership,Return on Operating Assets - YTD (ROA),-0.030388,-0.014118,0.03948,2.15243,0.007337,4.80E-05,-4.141747
24-Nov,25-Oct,New Vehicle Sales,# of New ABC Motorcycles Sold,88,82,0.166667,1.073171,139.352457,-13.818646,0.631492
24-Nov,25-Oct,New Vehicle Sales,New ABC Motorcycle Net Sales ,2765359,2806499.544,-54873.0125,0.985341,4742462.797,-477231.2398,0.583106
24-Nov,25-Oct,New Vehicle Sales,New ABC MC Gross Margin %,0.088596,0.12365,-0.013244,0.716506,0.108623,-0.013214,0.815628
24-Nov,25-Oct,New Vehicle Sales,New ABC MC Average Selling Price,31424.53409,34225.6042,-740.252035,0.918159,34032.14338,-45.394318,0.923378
24-Nov,25-Oct,New Vehicle Sales,ABC 1 Performance Rewards Earned,156141.64,114390.9608,53824.56583,1.364982,164791.0044,85781.63154,0.947513
24-Nov,25-Oct,New Vehicle Sales,# of New Other (NON ABC) MC/Vehicles/Units Sold,4,0.666666,0.5,6.000006,1.64754,0.324347,2.427862
24-Nov,25-Oct,New Vehicle Sales,New Other (NON ABC) MC/Vehicles/Units Net Sales ,183621.57,69963.08917,-9121.52,2.624549,169794.1668,14280.68737,1.081436
24-Nov,25-Oct,New Vehicle Sales,New Other (NON ABC) MC/Vehicles/Units Gross Margin %,-0.058604,-1.795164,-1.266172,0.032645,-0.405751,-0.094146,0.144433
24-Nov,25-Oct,Used Vehicle Sales,# of Used ABC MC Sold,57,59.916666,1.333333,0.951321,113.754097,1.944211,0.501081
24-Nov,25-Oct,Used Vehicle Sales,Used ABC MC Net Sales ,1231554.24,1135973.09,54275.82583,1.08414,2113629.436,21899.27493,0.582673
24-Nov,25-Oct,Used Vehicle Sales,Used ABC Gross Margin %,0.110432,0.104676,-0.022043,1.054989,0.087881,-0.015691,1.256608
24-Nov,25-Oct,Used Vehicle Sales,Used ABC MC Average Selling Price,21606.21474,18959.21729,494.96801,1.139615,18580.68844,-127.229393,1.162832
24-Nov,25-Oct,Used Vehicle Sales,New:Used Ratio (ABC),1.54386,1.368567,-0.028304,1.128085,1.225032,-0.144893,1.260261
24-Nov,25-Oct,Used Vehicle Sales,# of Used NON-ABC MC Sold,24,6.166666,-1.416667,3.891892,18.540983,-0.713769,1.29443
24-Nov,25-Oct,Used Vehicle Sales,Used NON-ABC MC Net Sales ,365300.36,76228.51,8673.3425,4.792175,215099.8131,21394.37206,1.698283
24-Nov,25-Oct,Used Vehicle Sales,Used NON-ABC MC Gross Margin %,0.114192,0.071454,-0.01215,1.598119,0.079435,-0.0091,1.437553
24-Nov,25-Oct,Used Vehicle Sales,Total # of Used MC (ABC & NON-ABC) Sold,81,66.083333,-0.083333,1.225725,132.29508,1.230441,0.612268
24-Nov,25-Oct,Used Vehicle Sales,Total Used MC (ABC & NON-ABC) Net Sales ,1596854.6,1212201.6,62949.16833,1.317318,2328729.249,43293.64698,0.685719
24-Nov,25-Oct,Used Vehicle Sales,Total Used MC (ABC & NON-ABC) Gross Margin %,0.111292,0.102586,-0.021599,1.084865,0.087101,-0.015196,1.277735
24-Nov,25-Oct,F&I Sales,Total Finance & Insurance Sales ,480514.72,437143.5875,145464.2933,1.099215,724552.8351,35916.44852,0.663188
24-Nov,25-Oct,F&I Sales,F&I Gross Profit Per Total Units Retailed (PTUR),1949.481618,2034.35146,859.905493,0.958282,1610.256068,178.88315,1.210666
24-Nov,25-Oct,F&I Sales,ABCFS F&I Income Per New & Used ABC MC Retailed (PNUHMR),2761.578851,3187.318684,935.76965,0.866427,2424.582687,248.496496,1.138991
24-Nov,25-Oct,F&I Sales,ABCFS F&I Gross Profit Per New & Used ABC MC Retailed (PNUHMR),1942.185747,2201.87107,853.30561,0.882062,1487.970992,179.4391,1.305258
24-Nov,25-Oct,F&I Sales,ABCFS ESP Penetration %,0.468966,0.44451,0.023145,1.055018,0.468668,-0.004083,1.000636
24-Nov,25-Oct,F&I Sales,ABCFS Retail Finance Product Penetration %,0.724138,0.46741,0.008063,1.549257,0.541727,-0.017292,1.336721
24-Nov,25-Oct,F&I Sales,Life & Disability Insurance Penetration %,0.009524,0.059312,-0.012027,0.160575,0.270992,0.014654,0.035145
24-Nov,25-Oct,P&A Sales,Total P&A Sales,870064.76,1194094.173,36560.8875,0.72864,1887848.501,-30069.07938,0.460876
24-Nov,25-Oct,P&A Sales,P&A Gross Margin %,0.397701,0.301409,-0.00972,1.319473,0.311868,0.002452,1.275222
24-Nov,25-Oct,P&A Sales,Total Sales - ABC Parts & Accessories,706804.9,899114.1413,6517.918667,0.786113,1323984.286,-102786.8973,0.533847
24-Nov,25-Oct,P&A Sales,ABC Parts & Accessories Gross Margin %,0.334527,0.335657,-0.001115,0.996633,0.331997,-0.000524,1.007621
24-Nov,25-Oct,P&A Sales,P&A Net Sales Per Total Units Retailed (PTUR),5029.276069,8023.029173,258.691861,0.626855,6838.203117,198.752788,0.735467
24-Nov,25-Oct,P&A Sales,ABC P&A Net Sales per New ABC MC Retailed (PNHMR),8515.721687,11081.93281,-787.697831,0.768433,10233.29949,112.859523,0.832158
24-Nov,25-Oct,P&A Sales,ABC P&A Inventory Turns,1.707178,2.617366,0.282015,0.65225,2.791282,-0.023062,0.611611
24-Nov,25-Oct,P&A Sales,ABC P&A Non-Moving Inventory %,0.5091,0.395742,-0.007291,1.286444,0.346595,0.002752,1.468861
24-Nov,25-Oct,A&L Sales Growth,Total A&L Sales,417154.1,468187.0133,6065.564167,0.890999,748282.2861,-6636.832665,0.557482
24-Nov,25-Oct,A&L Sales Growth,Apparel & Licensing Gross Margin %,0.123954,0.361895,0.004545,0.342514,0.35017,0.024553,0.353982
24-Nov,25-Oct,A&L Sales Growth,Total Sales - ABC Apparel & Licensing,304717.34,267870.596,12442.67867,1.137554,371005.8316,-41647.41069,0.821328
24-Nov,25-Oct,A&L Sales Growth,ABC Apparel & Licensing Gross Margin %,0.516242,0.506444,0.010715,1.019347,0.519486,0.02596,0.993755
24-Nov,25-Oct,A&L Sales Growth,Apparl. & Licens. Net Sales per Total Units Retailed (PTUR),2411.295376,3145.713422,45.960821,0.766534,2710.443268,97.062984,0.889631
24-Nov,25-Oct,A&L Sales Growth,ABC A&L Net Sales per New ABC MC Retailed (PNHMR),3671.293253,3301.609675,-95.038169,1.111971,2867.567107,-59.484137,1.280282
24-Nov,25-Oct,A&L Sales Growth,ABC A&L Seasonal Product Sell-through %,0.2192,0.474321,0.034895,0.462134,0.472702,0.017684,0.463717
24-Nov,25-Oct,A&L Sales Growth,ABC A&L Inventory Turns,0.525624,0.976047,0.236971,0.538523,0.98388,0.146644,0.534236
24-Nov,25-Oct,A&L Sales Growth,ABC A&L Non-Moving Inventory %,0.3086,0.350942,-0.012464,0.879348,0.344776,0.001518,0.895074
24-Nov,25-Oct,Service Sales Growth,Total Service Net Sales ,413522.13,500343.2275,-11024.79667,0.826477,812777.6466,-26705.88205,0.508776
24-Nov,25-Oct,Service Sales Growth,Service Sales Gross Margin %,0.554446,0.564243,-0.008657,0.982637,0.623053,-0.010766,0.889886
24-Nov,25-Oct,Service Sales Growth,Total Service Labour Net Sales ,367377.63,457861.7967,-7538.605834,0.802377,743912.9568,-23296.05469,0.493845
24-Nov,25-Oct,Service Sales Growth,Service Labour Gross Margin %,0.782675,0.674767,0.016463,1.159919,0.699378,-0.000325,1.119102
24-Nov,25-Oct,Service Sales Growth,Labor Revenue Per Total Units Retailed (PTUR),2123.570116,3076.339066,-45.407632,0.690291,2694.616595,38.691139,0.788079
24-Nov,25-Oct,Service Sales Growth,Service Sales  Per Total Units Retailed,2390.301329,3361.768613,-68.313167,0.711025,2944.059671,37.934169,0.811907
24-Nov,25-Oct,Service Sales Growth,Service Parts & Accessories Dollars to Labour Hour Ratio,176.164882,206.68951,19.700892,0.852317,205.719608,-0.375651,0.856335
24-Nov,25-Oct,Service Sales Growth,Proficiency (Profitability),0.453752,0.620839,-0.076706,0.730869,0.664354,-0.024099,0.682997
24-Nov,25-Oct,Service Sales Growth,Efficiency,0.827664,1.016167,-0.035647,0.814496,0.991762,0.082072,0.834539
24-Nov,25-Oct,Service Sales Growth,Repair Orders (RO) per Tech per day,1.7875,1.981024,-0.081898,0.902311,2.178763,0.028378,0.82042
24-Nov,25-Oct,Service Sales Growth,Service Labour Gross profit CP %,0.473404,0.45666,0.002896,1.036666,0.432905,0.030605,1.093552
24-Nov,25-Oct,Service Sales Growth,Service Labour Gross profit Internal PDI/Deal %,0.186975,0.111806,0.004515,1.672316,0.151535,-0.032568,1.233873
24-Nov,25-Oct,Service Sales Growth,Service Labour Gross profit Warranty %,0.028426,0.036673,0.001371,0.775121,0.037246,0.002033,0.763196
24-Nov,25-Oct,Service Sales Growth,Effective Selling Rate,172.212569,141.845869,11.699251,1.214082,147.325608,1.198014,1.168925
24-Nov,25-Oct,Service Sales Growth,Labour Sales per RO,428.179056,318.198967,8.482639,1.345633,341.207274,4.422287,1.254894
